calendar year,entity code,type of financial information,amount,SDG goal,SDG target,SDG indicator
2018,IFAD,EXP,193082000,2,,
2018,UNOPS,EXP,31642783.59,17,,
2018,UNOPS,EXP,12523369.25,2,,
2018,UNOPS,EXP,3682234.4,15,,
2018,UNOPS,EXP,53566.29671,14,,
2018,UNOPS,EXP,331924419.2,16,,
2018,UNOPS,EXP,220697644.3,3,,
2018,UNOPS,EXP,17572546.55,4,,
2018,UNOPS,EXP,22584255.69,6,,
2018,UNOPS,EXP,17368907.4,7,,
2018,UNOPS,EXP,111479434.2,9,,
2018,UNOPS,EXP,117772061.4,11,,
2018,UNOPS,EXP,2688396.769,12,,
2018,UNOPS,EXP,33676731.34,13,,
2018,UNWOMEN,EXP,266426712,5,,
2018,UNWOMEN,EXP,16474195.59,8,,
2018,UNWOMEN,EXP,8753169.651,11,,
2018,UNWOMEN,EXP,5504370.685,3,,
2018,UNWOMEN,EXP,8707393.339,1,,
2018,UNWOMEN,EXP,4783426.748,4,,
2018,UNWOMEN,EXP,3572399.237,17,,
2018,UNWOMEN,EXP,6834522.144,13,,
2018,UNWOMEN,EXP,59203810.62,16,,
2018,UNRISD,EXP,137085,1,,
2018,UNRISD,EXP,77451,2,,
2018,UNRISD,EXP,132905,3,,
2018,UNRISD,EXP,67922,4,,
2018,UNRISD,EXP,133763,5,,
2018,UNRISD,EXP,21967,14,,
2018,UNRISD,EXP,55833,15,,
2018,UNRISD,EXP,197231,16,,
2018,UNRISD,EXP,197231,17,,
2018,UNRISD,EXP,113658,7,,
2018,UNRISD,EXP,157992,11,,
2018,UNRISD,EXP,163365,12,,
2018,UNRISD,EXP,103301,13,,
2018,UNRISD,EXP,55833,6,,
2018,UNRISD,EXP,197231,8,,
2018,UNRISD,EXP,197231,9,,
2018,UNRISD,EXP,197231,10,,
2018,WFP,BUD,2953203770,2,,
2018,WFP,BUD,2568146479,2,2.1,
2018,WFP,BUD,194636296.6,2,2.2,
2018,WFP,BUD,97311448.56,2,2.3,
2018,WFP,BUD,64438925.64,2,2.4,
2018,WFP,BUD,212554591,17,,
2018,WFP,BUD,184515.8461,17,17.14,
2018,WFP,BUD,670145440.4,17,17.16,
2018,WFP,BUD,488971.9866,17,17.3,
2018,WFP,BUD,27943959.28,17,17.9,
2018,UNFCCC,EXP,91157673,13,,
2018,WTO,EXP,263483282.7,17,17.1,
2018,ILO,BUG,62077456,1,,
2018,ILO,BUG,6442070,2,,
2018,ILO,BUG,15046417,3,,
2018,ILO,BUG,22090718,4,,
2018,ILO,BUG,37602880,5,,
2018,ILO,BUG,5973,6,,
2018,ILO,BUG,260848,7,,
2018,ILO,BUG,402790561,8,,
2018,ILO,BUG,4816053,9,,
2018,ILO,BUG,29414337,10,,
2018,ILO,BUG,47215,14,,
2018,ILO,BUG,28577636,16,,
2018,ILO,BUG,10838960,17,,
2018,ILO,BUG,318737,11,,
2018,ILO,BUG,47215,15,,
2018,ILO,BUG,1317342,12,,
2018,ILO,BUG,3131658,13,,
2018,CTBTO,EXP,127564070,16,,
2018,IARC,EXP,46483337.9,3,3.4,
2018,UNITAID,EXP,216329000,3,3.3,
2019,UNITAID,EXP,242026000,3,3.3,
2019,OPCW,EXP,86323021.21,9,9.5,9.5.1
